band	hit_rank	verdict	pair	path	question
in	4	UNSUPPORTED	NO/YES	openspec/specs/environment-runtime/spec.md	How fast does an 'instant' litmus test have to be, and what may it do?
in	5	UNSUPPORTED	NO/YES	openspec/specs/filesystem-scanner/spec.md	How fast does an 'instant' litmus test have to be, and what may it do?
in	1	UNSUPPORTED	NO/YES	cheatsheets/runtime/forge-hot-cold-split.md	What is the byte limit for total cheatsheet size?
in	2	UNSUPPORTED	NO/YES	cheatsheets/runtime/forge-hot-cold-split.md	What is the byte limit for total cheatsheet size?
in	3	UNSUPPORTED	NO/YES	methodology/cheatsheets.yaml	What is the byte limit for total cheatsheet size?
in	4	UNSUPPORTED	NO/YES	methodology/cheatsheets.yaml	What is the byte limit for total cheatsheet size?
in	5	UNSUPPORTED	NO/YES	cheatsheets/observability/cheatsheet-metrics.md	What is the byte limit for total cheatsheet size?
in	1	UNSUPPORTED	NO/YES	openspec/specs/forge-opencode-onboarding/spec.md	Which opencode release is baked into the current forge image?
in	2	SUPPORTED	YES/NO	openspec/specs/default-image/spec.md	Which opencode release is baked into the current forge image?
in	1	UNSUPPORTED	NO/YES	openspec/specs/default-image/spec.md	Which packages does the forge image install into the container?
in	2	UNSUPPORTED	NO/YES	cheatsheets/runtime/forge-standalone.md	Which packages does the forge image install into the container?
in	3	SUPPORTED	YES/NO	cheatsheets/build/cmake.md	Which packages does the forge image install into the container?
in	1	CONTRADICTION	YES/YES	crates/tillandsias-otp/src/lib.rs	What is the OpenCode Web session cookie called and how long does the browser keep it?
in	2	UNSUPPORTED	NO/YES	crates/tillandsias-headless/src/main.rs	What is the OpenCode Web session cookie called and how long does the browser keep it?
in	3	UNSUPPORTED	NO/YES	docs/cheatsheets/opencode-web.md	What is the OpenCode Web session cookie called and how long does the browser keep it?
in	4	UNSUPPORTED	NO/YES	openspec/specs/opencode-web-session/spec.md	What is the OpenCode Web session cookie called and how long does the browser keep it?
in	5	UNSUPPORTED	NO/YES	openspec/specs/opencode-web-session-otp/spec.md	What is the OpenCode Web session cookie called and how long does the browser keep it?
in	1	SUPPORTED	YES/NO	openspec/specs/ci-release/spec.md	What does the release workflow actually publish?
in	1	UNSUPPORTED	NO/YES	docs/cheatsheets/centicolon-dashboard.md	Which panels are in the CentiColon convergence dashboard?
in	2	UNSUPPORTED	NO/YES	docs/cheatsheets/centicolon-dashboard.md	Which panels are in the CentiColon convergence dashboard?
in	3	UNSUPPORTED	NO/YES	docs/cheatsheets/centicolon-dashboard.md	Which panels are in the CentiColon convergence dashboard?
in	4	UNSUPPORTED	NO/YES	openspec/specs/observability-convergence/spec.md	Which panels are in the CentiColon convergence dashboard?
in	5	UNSUPPORTED	NO/YES	methodology/proximity.yaml	Which panels are in the CentiColon convergence dashboard?
in	1	CONTRADICTION	YES/YES	cheatsheets/utils/tillandsias-secrets-architecture.md	Where does Vault store the GitHub token, and how long do the per-container tokens live?
in	2	UNSUPPORTED	NO/YES	cheatsheets/utils/tillandsias-secrets-architecture.md	Where does Vault store the GitHub token, and how long do the per-container tokens live?
in	3	SUPPORTED	YES/NO	docs/cheatsheets/git-mirror-lifecycle-audit.md	Where does Vault store the GitHub token, and how long do the per-container tokens live?
in	1	UNSUPPORTED	NO/YES	cheatsheets/runtime/container-image-tagging.md	Does Tillandsias run on FreeBSD?
in	2	UNSUPPORTED	NO/YES	cheatsheets/runtime/vz-framework-provisioning.md	Does Tillandsias run on FreeBSD?
in	3	UNSUPPORTED	NO/YES	cheatsheets/build/build-strategy.md	Does Tillandsias run on FreeBSD?
in	4	UNSUPPORTED	NO/YES	cheatsheets/runtime/ephemeral-lifecycle.md	Does Tillandsias run on FreeBSD?
in	5	UNSUPPORTED	NO/YES	cheatsheets/utils/podman-secrets.md	Does Tillandsias run on FreeBSD?
in	1	UNSUPPORTED	NO/YES	scripts/nix-cache-service.sh	enclave service names and ports?
in	2	UNSUPPORTED	NO/YES	openspec/specs/enclave-network/spec.md	enclave service names and ports?
in	3	UNSUPPORTED	NO/YES	cheatsheets/architecture/enclave-service-catalog-research.md	enclave service names and ports?
in	4	UNSUPPORTED	NO/YES	openspec/specs/forge-environment-discoverability/spec.md	enclave service names and ports?
in	5	UNSUPPORTED	NO/YES	cheatsheets/runtime/enclave-services.md	enclave service names and ports?
in	1	SUPPORTED	YES/NO	docs/cheatsheets/litmus-stdlib-authoring.md	How do I register a new litmus test so scripts/run-litmus-test.sh picks it up?
in	1	UNSUPPORTED	NO/YES	openspec/specs/vsock-exec-authz/spec.md	What does the ExecOneShot control-wire operation do?
in	2	CONTRADICTION	NO/NO	docs/cheatsheets/tray-responsiveness.md	What does the ExecOneShot control-wire operation do?
in	3	UNSUPPORTED	NO/YES	crates/tillandsias-headless/src/vsock_server.rs	What does the ExecOneShot control-wire operation do?
in	4	UNSUPPORTED	NO/YES	crates/tillandsias-vm-layer/src/lib.rs	What does the ExecOneShot control-wire operation do?
in	5	UNSUPPORTED	NO/YES	crates/tillandsias-vm-layer/src/vsock_exec.rs	What does the ExecOneShot control-wire operation do?
in	1	SUPPORTED	YES/NO	methodology/between-commits-work-discipline.yaml	Which branch do checkpoints go to and what should the commit subject look like?
in	1	CONTRADICTION	NO/NO	openspec/specs/default-image/spec.md	What's the one-sentence core principle behind all of this?
in	2	SUPPORTED	YES/NO	methodology/philosophy.yaml	What's the one-sentence core principle behind all of this?
in	1	CONTRADICTION	YES/YES	openspec/specs/linux-native-portable-executable/spec.md	Where does the curl installer put the binary if ~/.local/bin isn't on my PATH?
in	2	UNSUPPORTED	NO/YES	docs/cheatsheets/alpine-containers.md	Where does the curl installer put the binary if ~/.local/bin isn't on my PATH?
in	3	UNSUPPORTED	NO/YES	openspec/specs/install-progress/spec.md	Where does the curl installer put the binary if ~/.local/bin isn't on my PATH?
in	4	UNSUPPORTED	NO/YES	cheatsheets/runtime/socket-enclave-diagnostics.md	Where does the curl installer put the binary if ~/.local/bin isn't on my PATH?
in	5	UNSUPPORTED	NO/YES	openspec/specs/dev-build/spec.md	Where does the curl installer put the binary if ~/.local/bin isn't on my PATH?
in	1	SUPPORTED	YES/NO	openspec/specs/forge-hot-cold-split/spec.md	Which forge paths are RAM-backed, and what size caps do they have?
in	1	CONTRADICTION	NO/NO	docs/cheatsheets/secrets-management.md	Where does the git author name and email live — same place as the token?
in	2	SUPPORTED	YES/NO	cheatsheets/utils/git-workflows.md	Where does the git author name and email live — same place as the token?
in	1	UNSUPPORTED	NO/YES	methodology/distributed-work.yaml	Why do agents keep undoing each other's formatting?
in	2	UNSUPPORTED	NO/YES	methodology/provenance.yaml	Why do agents keep undoing each other's formatting?
in	3	CONTRADICTION	NO/NO	methodology/between-commits-work-discipline.yaml	Why do agents keep undoing each other's formatting?
in	4	SUPPORTED	YES/NO	methodology/distributed-work.yaml	Why do agents keep undoing each other's formatting?
in	1	CONTRADICTION	YES/YES	cheatsheets/runtime/ollama-model-management.md	I've got a 6 GB GPU. Which models get pre-pulled and which are lazy?
in	2	CONTRADICTION	YES/YES	images/inference/preload-policy.sh	I've got a 6 GB GPU. Which models get pre-pulled and which are lazy?
in	3	CONTRADICTION	YES/YES	cheatsheets/runtime/ollama-model-management.md	I've got a 6 GB GPU. Which models get pre-pulled and which are lazy?
in	4	SUPPORTED	YES/NO	openspec/specs/inference-container/spec.md	I've got a 6 GB GPU. Which models get pre-pulled and which are lazy?
in	1	UNSUPPORTED	NO/YES	cheatsheets/web/cookie-auth-best-practices.md	What does the cookie-auth-best-practices cheatsheet recommend?
in	2	UNSUPPORTED	NO/YES	openspec/specs/knowledge-source-of-truth/spec.md	What does the cookie-auth-best-practices cheatsheet recommend?
in	3	UNSUPPORTED	NO/YES	openspec/specs/cheatsheet-tooling/spec.md	What does the cookie-auth-best-practices cheatsheet recommend?
in	4	UNSUPPORTED	NO/YES	methodology/bootstrap/router.yaml	What does the cookie-auth-best-practices cheatsheet recommend?
in	5	CONTRADICTION	NO/NO	openspec/specs/cheatsheet-tooling/spec.md	What does the cookie-auth-best-practices cheatsheet recommend?
in	1	CONTRADICTION	YES/YES	crates/tillandsias-core/src/config.rs	scanner default watch dir?
in	2	CONTRADICTION	YES/YES	crates/tillandsias-core/src/config.rs	scanner default watch dir?
in	3	UNSUPPORTED	NO/YES	crates/tillandsias-scanner/src/watcher.rs	scanner default watch dir?
in	4	CONTRADICTION	YES/YES	crates/tillandsias-scanner/src/watcher.rs	scanner default watch dir?
in	5	UNSUPPORTED	NO/YES	crates/tillandsias-scanner/src/watcher.rs	scanner default watch dir?
in	1	SUPPORTED	YES/NO	methodology/bootstrap/router.yaml	What command starts an autonomous session, and what must I read first?
in	1	UNSUPPORTED	NO/YES	openspec/specs/inference-container/spec.md	Which model does the inference container serve by default?
in	2	UNSUPPORTED	NO/YES	openspec/specs/inference-container/spec.md	Which model does the inference container serve by default?
in	3	UNSUPPORTED	NO/YES	cheatsheets/runtime/hashicorp-vault-tillandsias.md	Which model does the inference container serve by default?
in	4	UNSUPPORTED	NO/YES	openspec/specs/inference-container/spec.md	Which model does the inference container serve by default?
in	5	CONTRADICTION	YES/YES	openspec/specs/inference-host-side-pull/spec.md	Which model does the inference container serve by default?
in	1	SUPPORTED	YES/NO	methodology/distributed-work.yaml	What's the right way to change a packet's status field?
in	1	UNSUPPORTED	NO/YES	crates/tillandsias-logging/src/log_entry.rs	I hit a broken test while doing something unrelated. Am I obliged to file it?
in	2	SUPPORTED	YES/NO	methodology/litmus.yaml	I hit a broken test while doing something unrelated. Am I obliged to file it?
in	1	SUPPORTED	YES/NO	scripts/install-windows.ps1	How does a normal user end up on a stable build instead of a broken daily?
